Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19309994138,"Jul 14, 2026, 1:30:41 PM",Morning Run,Run,"Bro what the freak, feels like 89 deg f before 10 is diabolical",3000,8.88,181.0,75,false,,,activities/20428604490.fit.gz,,,3000.0,2979.0,8888.9,5.1,2.984,25.2,31.6,265.0,288.8,19.7,-0.1,,,,,181.0,167.0,,155.0,403.0,,,75.0,,,,,,,,,154.0,3001.0,,,0.0,,1.0,8927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.963,8448.5,,,,8478.0,0.0,,163.0,140.0,2.997,,,,,,,,,,,,""
19302937436,"Jul 14, 2026, 1:10:26 AM",Evening Run,Run,got really dark 😬,3498,11.29,189.0,82,false,,,activities/20421440053.fit.gz,,,3498.0,3478.0,11290.9,5.9,3.246,45.4,53.6,264.4,288.0,32.0,-0.1,,,,,189.0,167.0,,169.0,508.0,,,82.0,,,,,,,,,169.0,3498.0,,,0.0,,1.0,11341.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.228,10833.6,,,,9862.0,0.0,,229.0,154.0,3.261,,,,,,,,,,,,""
19302987605,"Jul 12, 2026, 3:52:38 PM",Morning Ride,Ride,,2494,8.95,115.0,4,false,,Raven,activities/20421490843.fit.gz,,94394200000.0,2494.0,2423.0,8954.4,5.86,3.696,29.0,32.6,259.8,273.0,8.8,-0.1,,,,,115.0,89.0,,,94.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,16288604.0,,,,,,,,,,,,3.59,8474.9,,,,,0.0,,,,,,,,,,,,,,,,""
19270766684,"Jul 11, 2026, 2:06:39 PM",Morning Run,Run,,3345,10.09,173.0,63,false,,,activities/20388709326.fit.gz,,,3345.0,3345.0,10093.1,4.34,3.017,31.8,31.6,270.4,288.6,4.0,0.0,,,,,173.0,160.0,,157.0,448.0,,,63.0,,,,,,,,,157.0,3346.0,,,0.0,,1.0,10123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.017,8844.0,,,,9534.0,0.0,,189.0,143.0,3.026,,,,,,,,,,,,""
19258024873,"Jul 10, 2026, 4:00:52 PM",Lunch Run,Run,peak jobless rn,1728,5.39,179.0,36,false,,,activities/20375752776.fit.gz,,,1728.0,1725.0,5391.5,4.74,3.126,15.4,19.0,266.6,283.4,16.4,-0.1,,,,,179.0,162.0,,161.0,238.0,,,36.0,,,,,,,,,160.0,1730.0,,,0.0,,1.0,5405.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,4938.6,,,,4880.0,0.0,,101.0,145.0,3.134,,,,,,,,,,,,""
19245116957,"Jul 9, 2026, 3:42:06 PM",Morning Run,Run,roasted and toasted 😛,3682,10.14,173.0,73,false,,,activities/20362629264.fit.gz,,,3682.0,3536.0,10143.5,4.56,2.869,39.8,45.2,269.6,288.2,21.7,-0.1,,,,,173.0,162.0,,149.0,460.0,,,73.0,,,,,,,,,147.0,3683.0,,,0.0,,1.0,10237.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.755,8928.2,,,,10028.0,0.0,,183.0,134.0,2.895,,,,,,,,,,,,""
19231225676,"Jul 8, 2026, 3:39:08 PM",Morning Run,Run,humidity has got to be worse then heat and there is not way anyone can change my mind on that 😭,2816,8.05,173.0,55,false,,,activities/20348489736.fit.gz,,,2816.0,2812.0,8056.2,4.3,2.865,25.4,28.8,259.6,272.8,17.4,-0.1,,,,,173.0,161.0,,148.0,364.0,,,55.0,,,,,,,,,147.0,2818.0,,,0.0,,1.0,8085.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.861,7781.3,,,,7986.0,0.0,,140.0,134.0,2.875,,,,,,,,,,,,""
19221151638,"Jul 7, 2026, 9:55:01 PM",Afternoon Run,Run,feels like is 88 but didn’t feel too hot,3202,9.66,182.0,84,false,,,activities/20338260265.fit.gz,,,3202.0,3118.0,9661.1,4.7,3.098,37.2,34.2,259.2,272.6,37.4,0.0,,,,,182.0,169.0,,161.0,433.0,,,84.0,,,,,,,,,159.0,3204.0,,,0.0,,1.0,9724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.017,9410.8,,,,8894.0,0.0,,186.0,145.0,3.119,,,,,,,,,,,,""
19231227124,"Jul 6, 2026, 11:48:56 PM",Evening Walk,Walk,,6804,7.23,100.0,8,false,,,activities/20348491266.fit.gz,,,6804.0,6688.0,7236.8,4.12,1.082,18.8,23.0,265.4,277.2,33.3,-0.1,,,,,100.0,78.0,,,259.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064,5274.0,,,,10462.0,0.0,,,,,,,,,,,,,,,,""
19201883041,"Jul 6, 2026, 1:50:30 PM",Morning Run,Run,decipher this: sleeping on 4hrs of run 🤦‍♀️,3337,9.80,169.0,60,false,,,activities/20318745578.fit.gz,,,3337.0,3329.0,9806.3,4.38,2.946,29.4,37.6,265.8,287.6,7.9,-0.1,,,,,169.0,159.0,,152.0,434.0,,,60.0,,,,,,,,,152.0,3338.0,,,0.0,,1.0,9833.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.939,9387.7,,,,9426.0,0.0,,176.0,138.0,2.954,,,,,,,,,,,,""
